ссылка,название,компания,зарплата,опыт
https://novosibirsk.hh.ru/vacancy/128484473,Программист 1C,ООО АРЕС,"от 300 000 ₽ за месяц, на руки",1–3 года
https://novosibirsk.hh.ru/vacancy/130343055,Программист 1С,Строительные ресурсы,"от 100 000 ₽ за услугу, на руки",3–6 лет
https://novosibirsk.hh.ru/vacancy/130779575,Программист 1С,ИП Шабыт+,,более 6 лет
https://novosibirsk.hh.ru/vacancy/130778928,Программист 1С,ООО АГК,"от 100 000 ₽ за месяц, на руки",1–3 года
https://novosibirsk.hh.ru/vacancy/130030199,Программист 1C,ООО ТОП ЛАЙН,"от 70 000 до 150 000 ₽ за месяц, на руки",не требуется
https://novosibirsk.hh.ru/vacancy/130424981,Инженер-программист,ПАО СКБ Приморья Примсоцбанк,"60 700 ₽ за месяц, на руки",1–3 года
https://novosibirsk.hh.ru/vacancy/130778264,Программист 1С,ООО Ровненский МЭЗ,,1–3 года
https://novosibirsk.hh.ru/vacancy/130778237,Инженер-программист IT,ОАО Электростальский завод тяжелого машиностроения,,1–3 года
https://novosibirsk.hh.ru/vacancy/128732126,Программист 1С,ООО Меридиан Саппорт,"от 200 000 ₽ за месяц, на руки",1–3 года
https://novosibirsk.hh.ru/vacancy/124602672,Программист 1С,ООО Мастер Софт,"от 140 000 до 180 000 ₽ за месяц, до вычета налогов",1–3 года
https://novosibirsk.hh.ru/vacancy/130777043,Программист 1C,ООО Баев-Айти,"от 100 000 ₽ за месяц, на руки",1–3 года
https://novosibirsk.hh.ru/vacancy/129501583,Программист 1C,Маркер Игрушка,"от 180 000 до 200 000 ₽ за месяц, на руки",1–3 года
https://novosibirsk.hh.ru/vacancy/130468267,Ведущий инженер-программист,"ОАО Авиационная и Морская Электроника, Научно-производственное предприятие",,более 6 лет
https://novosibirsk.hh.ru/vacancy/130776280,Программист 1С,ООО СтройВпрокат,"от 100 000 до 150 000 ₽ за месяц, до вычета налогов",1–3 года
https://novosibirsk.hh.ru/vacancy/130786407,Разработчик Bitrix,ООО Гарда Технологии,,3–6 лет
https://novosibirsk.hh.ru/vacancy/130069977,Программист 1С,"АО Халык-Life, АО",,1–3 года
https://novosibirsk.hh.ru/vacancy/130263850,Программист 1C,ООО Вираж плюс,"от 100 000 до 150 000 ₽ за месяц, на руки",1–3 года
https://novosibirsk.hh.ru/vacancy/128232511,Программист 1С,ООО Енисей-сервис,,1–3 года
https://novosibirsk.hh.ru/vacancy/126590924,Программист 1С,AZIMUTH (ООО TECHNOLOGIES OF REAL TIME),,1–3 года
https://novosibirsk.hh.ru/vacancy/130080285,Программист ТУРБО X (middle),ООО ПрофИтПроект,"от 80 000 до 200 000 ₽ за месяц, на руки",1–3 года
https://novosibirsk.hh.ru/vacancy/129189416,Программист 1С,ООО Ломбард Драгоценности Урала,"от 200 000 ₽ за месяц, до вычета налогов",1–3 года
https://novosibirsk.hh.ru/vacancy/128652166,Программист 1С,ООО Мотолидер,"от 140 000 ₽ за месяц, на руки",1–3 года
https://novosibirsk.hh.ru/vacancy/130739450,Программист,АО Омский НИИ Приборостроения,"от 50 000 ₽ за месяц, на руки",1–3 года
https://novosibirsk.hh.ru/vacancy/130077979,Bitrix разработчик,FaceX,"от 80 000 ₽ за месяц, до вычета налогов",1–3 года
https://novosibirsk.hh.ru/vacancy/130363698,Программист 1С (офис),Третьяковская галерея,"от 191 600 ₽ за месяц, до вычета налогов",1–3 года
https://novosibirsk.hh.ru/vacancy/130783444,Frontend-разработчик,ИРИ,,3–6 лет
https://novosibirsk.hh.ru/vacancy/130196224,Fullstack-разработчик,ИП СЖС Минск,,1–3 года
https://novosibirsk.hh.ru/vacancy/130076872,Fullstack-разработчик,ООО Армор,"от 250 000 ₽ за месяц, на руки",более 6 лет
https://novosibirsk.hh.ru/vacancy/129665828,Программист 1С:ЕRP,ООО РобоАвиа,"от 150 000 до 220 000 ₽ за месяц, на руки",3–6 лет
https://novosibirsk.hh.ru/vacancy/130736724,Программист,ГУЗ Липецкая ГБ СМП №1,"от 50 000 до 55 000 ₽ за месяц, на руки",не требуется
https://novosibirsk.hh.ru/vacancy/130632992,Backend-разработчик,ФГБУ ГИВЦ Минкультуры России,,1–3 года
https://novosibirsk.hh.ru/vacancy/129944507,Программист 1С,Предприятие «Таврия»,"от 180 000 ₽ за месяц, на руки",1–3 года
https://novosibirsk.hh.ru/vacancy/130735817,Программист,АО Архангельский целлюлозно-бумажный комбинат,"от 75 000 ₽ за месяц, на руки",1–3 года
https://novosibirsk.hh.ru/vacancy/130735818,Программист,АО Архангельский целлюлозно-бумажный комбинат,"от 75 000 ₽ за месяц, на руки",1–3 года
https://novosibirsk.hh.ru/vacancy/130624048,Инженер-программист,ООО АМБ-Инжиниринг,"от 5 000 Br за месяц, на руки",1–3 года
https://novosibirsk.hh.ru/vacancy/129907576,Программист (разработчик) 1С,ООО ТатАИСЭнерго,"от 100 000 ₽ за месяц, на руки",1–3 года
https://novosibirsk.hh.ru/vacancy/130634203,Инженер-программист (C++) Senior,ООО Кибертех-Сигнал,,3–6 лет
https://novosibirsk.hh.ru/vacancy/129980784,Программист backend роботизированных систем,Институт Исследования Нейросетей и Робототехники,"от 120 000 ₽ за месяц, на руки",3–6 лет
https://novosibirsk.hh.ru/vacancy/129973348,Программист 1С (Senior),ООО ДНС ЭЛЕКТРОНИКА,,3–6 лет
https://novosibirsk.hh.ru/vacancy/130075795,Golang-разработчик,ООО КГК,"от 250 000 ₽ за месяц, на руки",более 6 лет
https://novosibirsk.hh.ru/vacancy/130515878,Программист 1С (Middle),ИП Бреев Андрей Анатольевич,"от 140 000 до 180 000 ₽ за месяц, до вычета налогов",1–3 года
https://novosibirsk.hh.ru/vacancy/130013407,Программист 1С,Кондитерский Дом Куликовский,"от 450 000 до 500 000 ₸ за месяц, до вычета налогов",1–3 года
https://novosibirsk.hh.ru/vacancy/130665919,Программист 1С (начинающий),Компания Апогей (Техподдержка 1С),"от 60 000 ₽ за месяц, на руки",не требуется
https://novosibirsk.hh.ru/vacancy/129770310,Научный сотрудник/Инженер-программист,АО НИИГРАФИТ,,1–3 года
https://novosibirsk.hh.ru/vacancy/130345243,Разработчик рецептур,Русская Чайная Компания,,1–3 года
https://novosibirsk.hh.ru/vacancy/126697279,Инженер электроник (Программист роботов),ООО Тесвел,,1–3 года
https://novosibirsk.hh.ru/vacancy/130780992,Backend-разработчик,Чернышева Олеся Витальевна,"от 100 000 ₽ за месяц, на руки",1–3 года
https://novosibirsk.hh.ru/vacancy/130344466,Golang разработчик,Клируэй Текнолоджис,"от 250 000 до 350 000 ₽ за месяц, на руки",более 6 лет
https://novosibirsk.hh.ru/vacancy/130209825,Java-разработчик,ООО Цифровые технологии,"от 100 000 до 120 000 ₽ за месяц, на руки",1–3 года
https://novosibirsk.hh.ru/vacancy/130192672,Технолог-разработчик,WellFoods,"от 130 000 до 150 000 ₽ за месяц, до вычета налогов",3–6 лет
https://novosibirsk.hh.ru/vacancy/128633201,Java-разработчик,ПАО КБ Уральский банк реконструкции и развития (УБРиР),,3–6 лет
